Title,PID,Description
"Annual report of the Poweshiek County Farmers Mutual Insurance Association 1933",grinnell:21199,"Annual report for the year ending December 31, 1933. Includes Insurance report, financial statement, disbursements, general statement and report of the directors."
Annunciation,faulconer-art:1120,
"Anor Scott",grinnell:11899,"Studio portrait of Anor Scott, Grinnell's first store-keeper and merchant."
"Another View of Grinnell Junior High School",grinnell:6229,"View of the south face of the Grinnell Junior High School building looking over the Veterans Memorial Building. Originally built to serve as the community high school, the building later became the junior high school and in 1980 was converted into the Grinnell Community Center. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection 20, Grinnell Schools."
"Anschutz Hill and Mississippi River, Keokuk, Iowa",grinnell:15692,"Anschutz Hill and Mississippi River, Keokuk, Iowa"
Anselmus,faulconer-art:4017,
"Anson Hayden Palmer",grinnell:11942,"Studio portrait of Anson Hayden Palmer, who founded Newburg, Iowa, on land purchased by his father, Horace Palmer. Portrait by Brown, Marshalltown, Iowa."
"Anson Hayden Palmer and Uncle Harry",grinnell:12015,"Anson Hayden Palmer and Uncle Harry show off their peach tree probably in Newburg, Iowa. A note on the back of the photo says to ""notice the props,' but the peach tree eventually broke over the props."
Anteater,faulconer-art:947,
"Anthony Lake",grinnell:5604,"Photo of Anthony Lake, exec. director of International Voluntary Services"
"Anthropology Class",grinnell:5060,"Photo of Jonathan Andelson in Anthropology class"
"Anti-Vietnam War Fast",grinnell:5836,"Students participating in an anti-Vietnam War fast in Herrick Chapel."
"Antiphonal leaf",faulconer-art:1766,
"Antiphonal leaf",faulconer-art:1764,
"Antiphonal leaf",faulconer-art:2074,
"Antiphonal leaf",faulconer-art:1763,
"Antiphonal leaf",faulconer-art:1765,
"Antique Car, Donnan, Iowa",grinnell:16839,"Antique Car, Donnan, Iowa"
"Antique Farm Steam Engine, Mount Pleasant, Iowa",grinnell:16511,"Antique Farm Steam Engine, Mount Pleasant, Iowa"
"Antoine: Quel le but de tout cela? Le diable: Il n'y a pas de but! Plate XVIII from Tentation de Saint Antoine",faulconer-art:2023,
"Antonin Proust",faulconer-art:1803,
"Antonovskie iabloki",faulconer-art:520,
"Antonovskie iabloki",faulconer-art:277,
"Any Act Red",faulconer-art:4381,
"Apio-mita (White Dog) - Blood",faulconer-art:3323,
"Apollo and Daphne",faulconer-art:2318,
"Apostle's Clock, Spillville, Iowa",grinnell:14962,"Apostle's Clock, Spillville, Iowa"
"Apotheosis of the Gods",faulconer-art:2720,
"Appartenenze d'antiche terme con scale che conducono alla palestra, e al teatro.",faulconer-art:989,
"Appian Way, Chicago, 1930",faulconer-art:1204,
"Approach to the Canyon",faulconer-art:2686,
"Approaching Development, Apple Valley",faulconer-art:3847,
"Approaching Grinnell from the South from Highway 146",grinnell:19312,"The entrance to Grinnell, Iowa when approaching from the south on Highway 146. The Iowa Highway Commission garage is visible on the right with four orange cars outside it. Drake Community Library (Grinnell, Iowa) Archives. Chamber of Commerce Slides, p.8, slide 1."
"April Cottrell Zoll Close '92",grinnell:19471,"Alumni oral history interview with April Zoll Close (Cottrell) '92. Recorded June 3, 2012."
"Ara Fitzgerald ",grinnell:5861,"Photo of dance workshops with Ara Fitzgerald, dancer at Eugene O'Neill Theatre Center from Waterfard, CT."
Arabesque,faulconer-art:1161,
Arbeiterpaar,faulconer-art:3633,
"Arbol de la Vida",faulconer-art:1533,
"Arbor Lake",grinnell:11840,"Photograph by Cornelia Clarke with view of a lake presumed to be Arbor Lake. Drake Community Library (Grinnell, Iowa) Archives. Cornelia Clarke Collection. Collection #237."
"Arbor Lake",grinnell:11772,"Color view of Arbor Lake in Grinnell, Iowa, circa 1990. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection #17-2, Grinnell Buildings."
"Arbor Lake in Winter",grinnell:11900,"View of Arbor Lake in Grinnell, Iowa, in the winter with ice skaters. The boat house is visble to the left and a warming house is on the right. Photo by Cornelia Clarke."
"Arbor Lake, Grinnell, IA -- 85",grinnell:6302,"Postcard view of Arbor Lake, Grinnell, Iowa, from the south shore looking to the north. Boathouse on the right. Published by L.L. Cook, Lake Mills, Wis. Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1."
"Arbor Lake, Grinnell, Ia.",grinnell:6262,"Color postcard view of sailboat on Arbor Lake in Grinnell, Iowa. Postcard addressed to Miss Mattie Kelty, Chicago Heights, Ill. Postmarked January 18, 1906. Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1."
"Arbor Lake, Grinnell, Ia.",grinnell:12337,"Color postcard view of Arbor Lake, Grinnell, Iowa. There is a rowboat on the lake and a two-story boathouse. Young trees are growing in the park and there is a flagpole. The image appears to be a painting of some type, not a photograph. The postcard is addressed to Mrs. Lena Schneider, Minden, Nebraska, and postmarked September 27, 1909. The card was made in Germany and imported by Brown & Harrington, Grinnell. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection #17-5, Views of Grinnell."
"Arbor Lake, Grinnell, Iowa",grinnell:6256,"Postcard view of sailboats on Arbor Lake, Grinnell, Iowa. Boathouse and two other buildings on east shore pictured. Published by Pearson Ullberg Company, Minneapolis, Minn. Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1."
"Arbor Lake, Grinnell, Iowa",grinnell:14499,"Looking east at shoreline with canoers and boathouse. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there, was created in 1902 as a storage reservoir to provide soft water for manufacturing firms. Number 1222."
"Arbor Lake, Grinnell, Iowa",grinnell:14498,"Looking east at shoreline with sailboat and boathouse. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there, was created in 1902 as a storage reservoir to provide soft water for manufacturing firms. 1906 postmark. Number 132."
"Arbor Lake, Grinnell, Iowa",grinnell:14496,"Looking northeast at shoreline with sailboats and boathouse. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there, was created in 1902 as a storage reservoir to provide soft water for manufacturing firms. 1907 postmark."
"Arbor Lake, Grinnell, Iowa",grinnell:14500,"Looking east at shoreline with sailboat and boathouse. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there, was created in 1902 as a storage reservoir to provide soft water for manufacturing firms. 1909 postmark. Number 58."
"Arbor Lake, Grinnell, Iowa",grinnell:14497,"Looking northeast at shoreline with boathouse. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there, was created in 1902 as a storage reservoir to provide soft water for manufacturing firms."
"Arbor Lake, Grinnell, Iowa",grinnell:14502,"Looking northeast at shoreline with sailboats and boathouse. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there, was created in 1902 as a storage reservoir to provide soft water for manufacturing firms."
"Arbor Lake, Grinnell, Iowa",grinnell:14501,"Looking southeast at shoreline towards boathouse. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there, was created in 1902 as a storage reservoir to provide soft water for manufacturing firms. 1912 postmark. Number 86."
"Arbor Lake, Grinnell, Iowa",grinnell:14494,"Looking northwest at view of lake through trees. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there, was created in 1902 as a storage reservoir to provide soft water for manufacturing firms. Number 13889. Series 19."
"Arbor Lake, Grinnell, Iowa",grinnell:14503,"Looking northwest at beach with boaters, swimmers and lifeguard tower. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there on that day, was created in 1902 by damming a small creek k. Number 32304N. Series 11."
"Arbor Lake, Grinnell, Iowa",grinnell:14495,"Looking northwest at beach with boaters, swimmers and lifeguard tower. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there on that day, was created in 1902 by damming a small creek. Number 32304N. Series 11."
"Arbor Lake, Grinnell, Iowa",grinnell:14493,"Looking southeast from the west shore of frozen lake with children ice skating. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there on that day, was created in 1902 by damming a small creek. Title supplied by cataloger."
"Arbor Lake, Grinnell, Iowa -- 19",grinnell:6255,"Postcard view of Arbor Lake in Grinnell, Iowa. Published by E.C. Kropp, Milwaukee, Wisconsin. Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1."
"Arbor Lake, Grinnell, Iowa -- 87",grinnell:6260,"Postcard view of Arbor Lake in Grinnell, Iowa. Boathouse visible in the distance; bridge in the foreground. Picture is taken looking to the southeast. Published by Iowa Calendar Co., Marshalltown, Iowa. Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1."
"Arbre d'Or",faulconer-art:1462,
Arc,faulconer-art:1177,
"Arc de Triomphe",faulconer-art:1368,
"Arch of Constantine in Rome",faulconer-art:1031,
"Arch of Galienus. I. Façade of the Church of S. Vito",faulconer-art:1050,
"Archer Depot, Archer, Iowa",grinnell:13778,"Looking east at a two story wooden building with Archer printed on the side with railroad workers, including ticketmaster, on platform with trailer."
"Archetypa studiaque patris Georgii Hoefnagelii, Pars III, plate 4",faulconer-art:4357,
"Archetypa studiaque patris Georgii Hoefnagelii, Pars III, plate 9",faulconer-art:4358,
"Archetypa studiaque patris Georgii Hoefnagelii. Title page",faulconer-art:4356,
"Archipenko's first solo exhibition in America",faulconer-art:6251,
"Architectural Designs with Trophies",faulconer-art:1445,
"Architectural Motifs",faulconer-art:1392,
"Architectural Scene in Garden",faulconer-art:2724,
"Arco di Druso alla porta di Sebastiano in Roma",faulconer-art:1030,
"Arco di Rimino fabbricato da Augusto",faulconer-art:1039,
"Arco di Settimio Severo. 1. Tempio della Concordia. 2. Salita di Campidoglio",faulconer-art:1034,
"Arco di Trajano in Ancona",faulconer-art:1049,
"Ardo, avvampo",faulconer-art:4252,
"Are We Going to Win? -- Yea Bo!!",grinnell:17360,"Desk blotter which contains advertisements for 36 Grinnell, Iowa, businesses who supported the 1929 Grinnell High School football team. Contains the schedule of games, names of coaches in the Athletic Department, and prospects for the season. The advertisers are: Lee Hotel, Porter's Cafe, Grinnell State Bank, Independent Oil & Gas Co., Large's Pharmacy, Clindinin Insurance Agency, B. of R.T. Cafe, Barclay's Public Market, John Lund Shoe Repairing, Mathews Drug Co., Grinnell Cleaners, Candyland, Nick Heisel (suits made to order), B.W. Junior Department Store, Almy's Smart Footwear, Citizens National Bank, Swaney's Jersey Dairy, Richardson-Phelps Lumber Co., Rex Cigar Store, Equitable Life Insurance Company of Iowa (Wm. Gardner and A.B. Hamilton, agents), Grinnell Laundry, McNally the Butcher, Preston's, Ping Oil Co. Model Lunch Room, Dixie Sandwich Inn and One-stop Service Station, Hagen Bros. Garage, Rehder's Tailor Shop, Schultz & Son Motor Co., Deep Rock Station, Percy Goff (Travelers Insurance Co.), Star Clothing Co., Central Cigar Store and Billiard Parlor, Strand Taxi Co., Ross Shoe Co., and Campus Toastwich Shop."
"Area Admissions Coordinators Conference",grinnell:4993,"This is a photograph for the Area Admissions Coordinators Conference (1974). Features (from left): Nancy Schmulbach Maly, '61 Stephen P. Carroll, '68 Julie Johnson Sellergren, '67 Smardack Palmer, '62 Glenn Leggett"
"Arhens Family Center",grinnell:20367,"The Arhens Family Center building located at 10th Avenue and Penrose Street in Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Imagine Grinnell Slides, p.16, slide 8."
"Arikara Corn Ceremony- Bearing out the Osiers",faulconer-art:793,
"Arikara Medicine Ceremony- Night Men Dancing",faulconer-art:805,
"Aris F. Yanibas '60",grinnell:23381,"Alumni oral history interview with Aris F. Yanibas '60. Recorded May 29, 2015."
"Aristique Cryptographique: I - la Fleur, II - le Carrie, III - le Rond",faulconer-art:2950,
"Arkadii Gaidar",faulconer-art:3089,
"Arlington Hotel, Rodney, Iowa",grinnell:15100,"Arlington Hotel, Rodney, Iowa"
"Arlington Hotel, Sheldon, Iowa",grinnell:15055,"Arlington Hotel, Sheldon, Iowa"
"Arlington public school house, Arlington, Iowa",grinnell:13925,"Two story brick building with bell tower."
"Armory, Clarinda, Iowa",grinnell:14074,"View of the entrance to a two story brick armory building. Following a fire in 1912, the National Guard Armory was reconstructed as an armory and theater. Number 209."
"Armory, Grinnell, Iowa",grinnell:14596,"Looking southeast. The Grinnell Armory building was constructed in 1907 for lease to the Grinnell Armory Association. 1909 postmark. Number 921."
"Armory, Grinnell, Iowa",grinnell:6280,"Postcard view of the Armory at 816 Fifth Avenue in Grinnell, Iowa. Postcard produced by C.U. Williams Photoette, Bloomington, Illinois. Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1."
"Armory, Grinnell, Iowa -- 921",grinnell:6480,"Postcard view of the Armory at 816 Fifth Avenue in Grinnell, Iowa. Postcard produced by C.U. Williams Photoette, Bloomington, Illinois. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection #17-2, Grinnell Buildings."
"Armory, Red Oak, Iowa",grinnell:15531,"Armory, Red Oak, Iowa"
"Arnold's Shoes Awning",grinnell:21486,"Detail of Arnold's Shoes awning and glass transom above the door. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.21, slide 13."
"Arnold's Shoes and D &amp; T Family Shoes",grinnell:21484,"Arnold's Shoes Inc. and D & T Family Shoes at 803 and 805 Fourth Avenue in Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.21, slide 11."
"Around About Keota, Iowa",grinnell:15660,"Around About Keota, Iowa"
"Arrival in Bath 1984",grinnell:5617,"Grinnell-in-London arrival in Bath."
Arrow,faulconer-art:1475,
"Ars Nova",faulconer-art:6480,
"Art Class",grinnell:20117,"On far left is Kiri Nomtvedt, Man on the right is Thom Barthelamos, far right Shelley Reid."
"Art Class",grinnell:20109,"Student sits near window and draws with charcol. Julee (Brown) Tanner is in this photo, possibly 1988."
"Art Lovers",faulconer-art:1208,
"Art Project",grinnell:5174,"Photo of a student working on an art project."
"Art class with Professor Louis Zirkle, 1977",grinnell:19881,"Art class with Professor Louis Zirkle. Student in fair ilse sweater is Roy, class of 1978 or 1979."
"Artekovtsy v Gurzufe",faulconer-art:540,
"Arthur McDowell Interview",grinnell:23310,"One of nine children, Art was born south of Grinnell on June 22, 1902. After graduating from high school and working for three years at the Farmer's Elevator, he began his career in insurance. Upon retirement, he was Secretary-Treasurer of the Poweshiek County Mutual Insurance Company. He and his wife, Mildred, married in 1930, had a son and daughter."
"Articles of Association of the Trustees of Iowa College",grinnell:81,"1847 copy/draft of the rules and regulations governing the establishment of Iowa College"
"Articles of Association of the Trustees of Iowa College",grinnell:75,"Document detailing rules and regulations for the establishment of Iowa College that was filed in Davenport."
"Articles of Association of the Trustees of Iowa College (Typescript)",grinnell:82,"1960 mimeograph copy of 1847rules and regulations governing the establishment of Iowa College"
"Articles of Incorporation",grinnell:76,"Original 1856 document detailing the rules and regulations for the establishment of Grinnell University"
"Articles of Incorporation of the Trustees of the Grinnell Literary Fund, P.C. Iowa",grinnell:83,"Typed copy of the Articles of Incorporation for the Grinnell Literary Fund from January 1855"
"Arts and Crafts at Grinnell Community Daycare Center",grinnell:20500,"Arts and crafts at the Grinnell Community Daycare Center in Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Imagine Grinnell Slides, p.30, slide 8."
"Arts and Crafts with Grinnell Community Daycare Center",grinnell:20501,"Woman helps a boy with his arts and crafts project at the Grinnell Community Daycare Center in Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Imagine Grinnell Slides, p.30, slide 10."
"As Far as the Eye Can See",faulconer-art:4028,
"Ased Is the Lion No.1 and Ased No. 2",faulconer-art:1470,
"Asian/Asian-American Professors in Academic Q&A Panel",grinnell:23193,"Announcing a panel discussion by Asian/Asian American professors at Grinnell."
"Aso Kiyo Yoshi",faulconer-art:1561,
"Assembly of God Congregation",grinnell:6381,"The congregation of the Assembly of God church in Grinnell, Iowa, in 1931-32. The church building was originally the post office in Gilman, Iowa, and was moved to 619 Broad Street in the early 1930s. The following list of names does not include all of the people and they are not necessarily in the correct order. At doors, left to right: Anna Figland (in dark hat), Theodore Olson, Elizabeth Olson, [unidentified], Ray Holland (holding child), [unidentified]. Standing, back row: Mrs. Belcher, Clara Davenport, [unidentified], Mrs. Graham. Middle row: Mary Wright, Viola Schooley, Bessie McGrew, Mrs. Holland, Della Woods, Fred Taylor, [unidentified], [unidentified], Austin Olson, Henry Olson, Edward Wright. Front row: Holland boys, Arelna Fleener, [unidentified children], Mrs. Harper (center shorter woman), Mrs. Harper, Raymond Davenport, Buela Spules, Mrs. Klowyk (sp?), Helen Bordiard, Herb Wyss, Beulah Wyss, T.W. Stark, Florence (Flossie) Bell, Carmen Wyss, Jessie Holland, George Driscoll. Children in front: Bobby Wyss, Olan Teterman, Ross Wyss, Beverly Lunn."
"Assembly of God Parade",grinnell:6384,"Parade with Assembly of God members looking south on Broad Street across from Central Park in Grinnell, Iowa. Businesses in background include: Smith's Furniture and Undertaking, Percy Goff Insurance (923 1/2 Broad), Blue Bird Cafe (bus depot), a hardware store, I.S.U. Co. Public Service. Smith Furniture was in this location from August 1925 through April 1947."
"Assembly of God Pastors",grinnell:6389,"List of pastors who served the Assemblies of God churches in Grinnell, Iowa, from the time they were incorporated in 1934 until the time they closed in 2009. The First Assembly of God was located at 619 Broad Street. The Glad Tidings Assembly of God was located in the former Baptist church at the northeast corner of 4th Avenue and Park Street."
"Assessor's Book, Madison Township, Poweshiek County, Iowa, 1899",grinnell:17701,"The Madison Township, Poweshiek County, Iowa, assessor's book for 1899. Information listed for each family includes: name of head of household, number and sex of dogs owned, school district number, description and value of land owned, number, type and value of horses, mules, cattle, swine and sheep owned, number and value of vehicles owned, other personal property and post office address. The final ""Recapitulation"" sheets give totals and values for the entire township. The book was found in Madison #5 School (the White Cloud School). It has no cover and begins with a blank page. There are 26 double page spreads with data. There are no pages numbered 27 or 28 and page 29 is blank. There are two Recapitulation sheets at the end with data and one blank Recapitulation sheet."
"Association Building, [Grinnell] College, Grinnell, Iowa",grinnell:13637,"Looking east from Park Street. Steiner Hall was originally intended to house the Y.M.C.A. and Y.W.C.A. programs (named the Association Building). It later housed office, seminar rooms and classrooms. The building was constructed in 1906 at a cost of approximately $10,000 and renovated in 1977 and 1991-92. 1912 postmark. Number 32."
"Association Room, Christian Associations Building, Grinnell College, Grinnell, Iowa",grinnell:13486,"Interior room with fireplace."
"Association Room, Christian Associations Building, Iowa College, Grinnell, Iowa",grinnell:13474,"Interior room with fireplace. 1909 postmark."
"Astanihkyi (Come Singing) - Blood",faulconer-art:3324,
"Astir-Switzer's Motel",grinnell:11641,"Color postcard view of Astir-Switzer's Motel on Highway 6 East, in Grinnell, Iowa. Managed by Lowell and Margaret Corkery. Postcard published by ColourPicture Publishers, Inc., Boston, Massachusetts. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection #17-2, Grinnell Buildings."
"Astrakhanskii arbuz",faulconer-art:276,
"At Carnac",faulconer-art:2382,
"At Kwaustums Village",faulconer-art:690,
"At Lakewood, Lake View, Iowa",grinnell:15541,"At Lakewood, Lake View, Iowa"
"At Last a Thousand II",faulconer-art:1348,
"At Nash Harbor, Nunivak",faulconer-art:3387,
"At Noatak Village",faulconer-art:709,
"At Selawik",faulconer-art:710,
"At the Sources of Life",faulconer-art:3299,
"Atelier Daumier",faulconer-art:2972,
"Atelier Szene",faulconer-art:2010,
"Athletics Awards, 1957-1961",grinnell:20018,"Athletes with awards in different sports. Middle: Jim Lowry, class of 1961."
"Atomic Homecoming Decorations",grinnell:5657,"""Let Us Atom"" Homecoming decorations."
"Atonement (portfolio of nine)",faulconer-art:4155,
"Atsina Burial Ground",faulconer-art:790,
"Atsina Fly Dance- ""Robes Outstretched""",faulconer-art:810,
"Attendez donc au moins que j'aie eu le temps de prendre mon aplomb.",faulconer-art:6270,
"Attention, Civilization",faulconer-art:644,
"Audience at Basketball game",grinnell:23607,"Audience at a basketball game"
Auditorium,grinnell:23556,"Students listening in class"
"Auditorium and north entrance to high school, Maquoketa, Iowa",grinnell:13978,"Number 112464."
"Auditorium, Cedar Rapids, Iowa",grinnell:13504,"The Auditorium was built around the turn of the century on North 1st Street near the site of the town's first grist mill. It was used for large platform meetings, an exhibition hall and later as a skating rink. Listed in the National Register of Historic Places. Number 1346."
"Audrey (Bunny) Howard Swanson '43",grinnell:19423,"Alumni oral history interview with Audrey (Bunny) Howard Swanson '43. Recorded June 1, 2012."
"Audubon County Court House, built 1939, Audubon, Iowa",grinnell:13919,"Looking southeast at a two-story brick & stone building completed in 1940 costing approximately $139,000. The second Audubon County Court House is one of ten courthouses built in Iowa during the federal Public Works Administration (PWA) program's operation in the 1930s. The county seat moved in 1879 to Audubon and in 1884 the county secured a $7,000 building to used as a courthouse and was demolished in 1939. Located at 318 Leroy Street, Audubon, Audubon County, Iowa. Listed in the National Register of Historic Places. ""VOTE YES on FEB. 10th and put the County Seat at CLARKFIELD, THE GEOGRAPHICAL CENTER.""--t.p. verso."
"Audubon School, Dubuque, Iowa",grinnell:15559,"Audubon School, Dubuque, Iowa"
"Auf Freuersfuessen",faulconer-art:926,
"Auf Freuersfuessen",faulconer-art:927,
Aufruhr,faulconer-art:2016,
"Augusta Pederson Interview",grinnell:23313,"Since her birth on October 29, 1904, Augusta has lived in or near Grinnell. After her marriage to Leonard Pederson, she was his partner in farming, active in Grange and church work, and a busy homemaker and mother. She was an accomplished cook, baker, and quilter. She and her husband had three children."
"Aurelia High School building, Aurelia, Iowa",grinnell:14468,"Two story wooden high school building built in 1883 and torn down in 1922. 1911 postmark."
"Aus der Tierlegende",faulconer-art:3652,
"Auto Salvage Yard",grinnell:19314,"Automobile salvage yard in Grinnell, Iowa, in 1963. Drake Community Library (Grinnell, Iowa) Archives. Chamber of Commerce Slides, p.8, slide 11."
"Automatic Electric Washer Co., Newton, Iowa",grinnell:13715,"Looking northwest at a three-story brick factory building with a delivery truck backed up to the loading dock. Number B-202."
"Automobile Accident at 5th Avenue and the Railroad Tracks",grinnell:12225,"View of an automobile accident which occurred at the intersection of the Minneapolis and St. Louis Railroad tracks and 5th Avenue in Grinnell, Iowa. The view is looking to the southwest. The Brand apartments are visible in the top left quadrant of the image. The house in the background is no longer standing. Photo by Cornelia Clarke. Drake Community Library (Grinnell, Iowa) Archives. Cornelia Clarke Collection. Collection #237."
"Automobile Parade, Kiron, Iowa",grinnell:15640,"Automobile Parade, Kiron, Iowa"
Autumn,faulconer-art:1875,
Aviamodelisty,faulconer-art:200,
"Avis Crockett at the Switchboard",grinnell:17369,"Avis Crockett at the switchboard in Grinnell, Iowa, in the early 1950s."
"Avoiding the New Cold War: Environmental Conflict Resolution and the Need for an International Legal Regime in the High Arctic",grinnell:100,"Sam Mulopulos' submission to the 2012 Peace Studies Student Conference"
"Avram Machtiger '74",grinnell:19514,"Alumni oral history interview with Avram Machtiger '74. Recorded May 31, 2014."
"Axis of colony of Archimedes",grinnell:17137,
"B&G Strike Photograph",grinnell:5908,"This is a photograph of the B&G strike which took place on campus at Grinnell College April 13-19, 1970."
"B. H. James Business Card",grinnell:12518,"Business card for B.H. James of Montezuma, Iowa, offering pump repair services."
"B. Ruth Montgomery '77",grinnell:21208,"Alumni oral history interview with B. Ruth Montgomery '77. Recorded May 31, 2013."
"B.P.O.E. 1266 Parade Float in 1949 Grinnell Day Parade",grinnell:19297,"The Benevolent and Protective Order of Elks (B.P.O.E.) Grinnell chapter No. 1266's parade float in the 1949 Grinnell Day Parade in Grinnell, Iowa. The float is white and purple with an American flag draped over a table and a chest with an elk's head mounted on it. Drake Community Library (Grinnell, Iowa) Archives. Chamber of Commerce Slides, p.7, slide 12."
"B.P.O.E. Building With Godfather's Pizza",grinnell:21596,"The B.P.O.E. building on 4th Avenue and Main Street in Grinnell, Iowa, when it housed Godfather's Pizza and the Grinnell Safe and Lock Company was around the corner in the basement on Main Street. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.31, slide 9."
"B.P.O.E. Building on 4th Avenue",grinnell:21595,"The B.P.O.E. Building on Fourth Avenue and Main Street in downtown Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.31, slide 7."
"B.P.O.E. Building, Oskaloosa, Iowa",grinnell:16418,"B.P.O.E. Building, Oskaloosa, Iowa"
"B.P.O.E. Home, Grinnell, Iowa",grinnell:6217,"Color postcard view of the B.P.O.E. building on the southeast corner of Main Street and 4th Avenue in Grinnell, Iowa. The lower floor is occupied by R.E. Bates Wallpaper and Paint Supplies. The red brick building to the right in the picture is the Antler Hotel. Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1."
"B.P.O.E. Home, Grinnell, Iowa",grinnell:13424,"Looking southeast from corner of Fourth Avenue and Main Street. The B.P.O.E. building was constructed in 1914. Lower floor was occupied by the Rexall Drug Store & flower shop of R.E. Bates, who later founded Bates Flowers on Broad Street. Number 46769."
"B.P.O.E. No. 1266 Float in 1949 Grinnell Day Parade",grinnell:19311,"The Benevolent and Protective Order of Elks (B.P.O.E.) Grinnell chapter no. 1266's parade car in the 1949 Grinnell Day Parade in Grinnell, Iowa. The car is a dark navy convertible decorated with red and white streamers and several small American flags. Drake Community Library (Grinnell, Iowa) Archives. Chamber of Commerce Slides, p.7, slide 9."
"B.P.O.E. float",grinnell:19266,"B.P.O.E. float in the 1949 Grinnell Day Parade in Grinnell, Iowa. The float looks to be a car covered in a white and purple car-cover. Drake Community Library (Grinnell, Iowa) Archives. Chamber of Commerce Slides, p.4, slide 1."
"B.Y.O.U. : Build Your Own University",grinnell:23102,"Announcing a workshop put on by Bruce High Quality Foundation University."
"BMW Showroom",faulconer-art:1369,
"Babak Armijani '68",grinnell:19352,"Alumni oral history interview with Babak Armijani '68. Recorded June 1, 2012."
"Babe's Turn",faulconer-art:3761,
"Babish Beach (near Lagos, Nigeria, West Africa)",faulconer-art:69,
"Baboon with Jujyfruits",faulconer-art:14,
"Baby Cynthia Palmer at St. Francis Nursery",grinnell:12072,"Baby Cynthia Palmer in her bassinet in the nursery at St. Francis Hospital in Grinnell, Iowa, in January 1949."
"Baccalaureate Service Commencement 1969",grinnell:5137,"Students beside Herrick Chapel sign at Baccalaureate Service for Commencement 1969. From left: Hubert Farbes, Molly Malcolm, and Kathy Karlson."
"Bacchanal with Wine Vat",faulconer-art:152,
"Bacchus (after Caravaggio), from Cycle: Dialogue with the Grand Masters",faulconer-art:3264,
"Back Alley Deli with Awning Down",grinnell:21388,"Back Alley Deli at 917 Broad Street in Grinnell, Iowa, with their awning down. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.13, slide 10."
"Back Alley Deli with Awning Up",grinnell:21387,"Back Alley Deli at 917 Broad Street in Grinnell, Iowa, with their awning up. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.13, slide 9."
"Back Entrance to Back Alley Deli",grinnell:21389,"The back entrance to Back Alley Deli at 917 Broad Street in Grinnell, Iowa, post renovation. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.13, slide 11."
"Back Entrance to Back Alley Deli Before Renovation",grinnell:21391,"The back entrance to Back Alley Deli before renovation at 917 Broad Street in Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.13, slide 16."
"Back of the Herald Register Building",grinnell:21627,"The rear (north side) of the Herald Register Building on Fifth Avenue in downtown Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.34, slide 3."
"Back-Stage 8 p.m. (Grand Opera)",faulconer-art:1188,
"Backbone Beach, Backbone State Park, Strawberry Point, Iowa",grinnell:16330,"Backbone Beach, Backbone State Park, Strawberry Point, Iowa"
Bacteria,faulconer-art:4423,
"Bad Dog, New Orleans",faulconer-art:6379,
"Badgerow Building, Sioux City, Iowa",grinnell:15021,"Badgerow Building, Sioux City, Iowa"
Badlands,faulconer-art:4474,
"Badminton, Undated",grinnell:20015,"Students playing badminton, Undated."
