"","Title","PID","Description","alttitle","publisher","date","item","key","resource","topic","geo"
"426","An Exhibit Celebrating the 50th Anniversary of the Academic Convocation Liberal Arts College in a World of Change","grinnell:23175","Announcing an exhibit celebrating the 50th anniversary of Martin Luther King, Jr.'s address to Grinnell College, Liberal Arts College in a World of Change.",NA,"Grinnell College",2017,"Digital Grinnell, Campus Events",NA,"Text","Education, Humanistic","Grinnell (Iowa)"
"427","An Invitation to Grinnell 'Action Heroes' : Co-Create I Never Ask for It","grinnell:23199","Announcing a program based on the I Never Ask For IT project led by Jasmeen Patheja.",NA,"Grinnell College",2018,"Digital Grinnell, Campus Events",NA,"Text","Rape, Sexual harassment","Grinnell (Iowa)"
"428","An Uncomfortable Sleep","grinnell:23269","Black and white photograph showing a woman, dressed in a patterned dress, lying prone with her head and feet resting on chairs and her arms crossed on her stomach. A mirror, a hat, and several boxes sit atop a dresser in the background. There is an unidentified framed item on the wall.",NA,"Poweshiek History Preservation Project",1890,"Digital Grinnell, Poweshiek History Preservation Project, Grinnell Historical Museum","1890s, 1900s, Family Life","still image","Women, Mirrors, Furniture, Magic tricks, Grinnell Historical Museum",NA
"430","Andrew Morgan Davis '71 and Professor McKibben at Bookstore","grinnell:3611","Andrew Morgan Davis '71 and Professor McKibben looking at books in the Bookstore.",NA,"Grinnell College",1971,"Digital Grinnell",NA,"Photograph",NA,NA
"431","Angela Anderson in Science Classroom, May 5, 1978","grinnell:12901","Angela Anderson, class of 1979, works in a science laboratory on May 5, 1978.",NA,"Grinnell College",1978,"Digital Grinnell, Life at Grinnell College, Grinnell College. Special Collections and Archives",NA,"still image","Student life and customs, Students, College students--Education, Science, Women college students, African American","United States, Iowa, Grinnell (Iowa)"
"432","Angled View of Danish Maid Bakery and Grinnell Graphix","grinnell:21574","An angled view of Danish Maid Bakery and Grinnell Graphix on Fourth Avenue in Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.29, slide 17.",NA,"Poweshiek History Preservation Project",1990,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","Grinnell, 1990s, Business","still image","Central business districts, Stores, Retail, Danish Maid Bakery (Grinnell, Iowa), Automobiles, Grinnell Graphix (Grinnell, Iowa)","Grinnell (Iowa)"
"433","Animal cage, Bever Park, Cedar Rapids, Iowa","grinnell:14127","Visitors of all ages surrounding an animal cage. Bever Park is a 90-acre city park containing the Bever Park Children's Zoo. 1910 postmark. Number 49.",NA,NA,1910,"Iowa Historical Postcard Collection (IHPC)","2700 Bever Avenue SE, Cedar Rapids, Linn County, Iowa","still image","Linn County (Iowa), Cedar Rapids (Iowa), Parks, Animals, Women, Children, Bever Park",NA
"434","Animals Among Us","grinnell:6048","The catalog for the student-hosted exhibit ""Animals Among Us,"" which appeared in the Faulconer Gallery from April 5 until June 30, 2013.",NA,"Grinnell College",2013,"Digital Grinnell",NA,"text","Installations (Art), Animals in art, Exhibitions","Grinnell (Iowa)"
"435","Ann Bohstedt","grinnell:21171","Ann Bohstedt on stage at the Golden Jubilee for Camp Fire Girls in 1960.",NA,"Poweshiek History Preservation Project",1960,"Digital Grinnell, Poweshiek History Preservation Project","1960s, Grinnell, Organizations","still image","Bohstedt, Elizabeth Ann Gray, 1924-2005, Camp Fire Girls, Anniversaries","Grinnell (Iowa)"
"436","Ann Bohstedt and friends","grinnell:21167","Ann Bohstedt (third from left) and Ruth and Willard Wells (second and first on left) and friends.",NA,"Poweshiek History Preservation Project",1950,"Digital Grinnell, Poweshiek History Preservation Project","1950s, Grinnell, Family Life","still image","Persons, Friendship","Grinnell (Iowa)"
"437","Ann Childs","grinnell:5101","Photo of Ann Childs '77 working in the college bakery",NA,"Grinnell College",1976,"Digital Grinnell","college bakery","Photograph",NA,"Grinnell (Iowa)"
"438","Ann Shimokusu in science classroom, May 5, 1978","grinnell:12902","Ann Shimokusu, class of 1979, in a science class on May 5, 1978. Taken for the Grinnell Minorities brochure.",NA,"Grinnell College",1978,"Digital Grinnell, Life at Grinnell College, Grinnell College. Special Collections and Archives",NA,"still image","Students, Science, College students--Education, Student life and customs, College students, Asian American","United States, Iowa, Grinnell (Iowa)"
"439","Anna Catherine Craig and Will Goode","grinnell:12141","Anna Catherine Craig and her son Will Goode. Anna was Edith Renfrow Smith's aunt on her mother's side. Portrait by Brooks Art Studio, Grinnell, Iowa.",NA,"Poweshiek History Preservation Project",1900,"Digital Grinnell, Poweshiek History Preservation Project","1900s, Grinnell, Family Life","still image","African Americans, Renfrow family, Craig, Anna Catherine, Goode Will","Grinnell (Iowa)"
"440","Anna Marie Stewart","grinnell:23220","A portrait of Anna Marie Bush Stewart (1826-1908), wife of Joel Stewart. She is shown wearing a hairband, a white scarf, a chained necklace, and earrings.",NA,"Poweshiek History Preservation Project",1880,"Digital Grinnell, Poweshiek History Preservation Project, Grinnell Historical Museum","1880s, 1890s, Grinnell, Family Life","still image","Portrait Photography, Women, Stewart, Anna Marie Bush (1826-1908), Grinnell Historical Museum",NA
"441","Anna Ramsey Interview","grinnell:23315","Anna Ramsey, the daughter of Frank and Alice Knight, was born on November 22, 1908. She graduated from Grinnell College in 1930. She married Fred Ramsey and had a son and a daughter. Before retiring, she worked as a secretary at Grinnell College.","Voices from the Past","Poweshiek History Preservation Project",1992,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","Grinnell, Business, 1920s, 1930s, 1940s","sound recording-nonmusical","Stock Market Crash (1929), Depressions, World War (1939-1945)","Grinnell (Iowa)"
"442","Annie Jones Williams","grinnell:23281","Black and white photographic portrait of Annie Jones Williams (d. 1946), age 18. She is wearing a dark colored dress with an ornate collar and a jeweled choker.",NA,"Poweshiek History Preservation Project",1890,"Digital Grinnell, Poweshiek History Preservation Project, Grinnell Historical Museum","1890s","still image","Young Women, Clothing and Dress, Jewelry, Williams, Annie Jones (?-1946), Grinnell Historical Museum",NA
"443","Annie Williams Woomer","grinnell:23270","A black and white portrait of Annie Williams Woomer in a dark dress with a lace collar. Her hair is pulled back and she is wearing a pin on her left shoulder. Note on back of photo reads ""Me - on 4th Ave. Grinnell Iowa."" Photo was found in a collection of photos titled Williams-Cook Collection.",NA,"Poweshiek History Preservation Project",1890,"Digital Grinnell, Poweshiek History Preservation Project, Grinnell Historical Museum","1890s, 1900s, 1910s","still image","Women, Portrait photography, Women's clothing, Woomer, Annie Williams, Grinnell Historical Museum","4th Avenue, Grinnell, Iowa"
"444","Annie Williams Woomer","grinnell:23264","A black and white portrait of Annie Williams Woomer mounted on studio cardboard. She is shown wearing a hair bow or hat, high-collared dress with a bow at the back of the neck, and a locket necklace. The back of the photograph has the following statement: ""Me on 4th Ave, Grinnell Iowa."" The donor included a post-it note, on which is written ""Annie Williams Woomer - my grandmother.""",NA,"Poweshiek History Preservation Project",1900,"Digital Grinnell, Poweshiek History Preservation Project, Grinnell Historical Museum","1900s, Family Life","still image","Women, Portrait photography, Clothing and dress, Woomer, Annie Williams, Grinnell Historical Museum","Grinnell (Iowa)"
"445","Annie Williams Woomer","grinnell:23252","Black and white photograph of Annie Williams Woomer mounted in studio cardboard frame. She is shown in a white, high-collared dress with her hair pulled back.There is writing on the back, that states ""Me, 1903"" and a post-it from the donor that states ""Annie Williams Woomer, My Grandmother.",NA,"Poweshiek History Preservation Project",1903,"Digital Grinnell, Poweshiek History Preservation Project, Grinnell Historical Museum","1900s, Family Life","still image","Women, Portrait photography, Woomer, Annie Williams, Grinnell Historical Museum",NA
"446","Annie Williams Woomer Turner","grinnell:23254","A black and white photograph of Annie Williams Woomer Turner. She is shown posing in a fur coat and large, round hat with a lace fringe and flowers. The back of the photograph has the following statement: ""Me in the lovely fur coat Carl sent me at Grinnell Iowa. Everyone admired it, -- was so glad forme [sic]."" The photograph is printed on a postcard. Carl was one of her three sons.",NA,"Poweshiek History Preservation Project",1910,"Digital Grinnell, Poweshiek History Preservation Project, Grinnell Historical Museum","1910s, Grinnell","still image","Clothing and dress, Fur garments, Women, Women's hats, Turner, Annie Williams Woomer, Grinnell Historical Museum","Grinnell (Iowa)"
"447","Annual Conference on Careers","grinnell:5881","Photo of the Fifth Annual conference on careers, May 12, 1941. From left to right: Mr. Elton C. Loucks; Mr. Frank J. Hertel; Miss Judith C. Waller; Mr. Allen W. Goodspeed; Dr. Emma Layman.",NA,"Grinnell College",1941,"Digital Grinnell",NA,"Photograph",NA,"Grinnell"
"448","Annual report of the Poweshiek County Farmers Mutual Insurance Association 1933","grinnell:21199","Annual report for the year ending December 31, 1933. Includes Insurance report, financial statement, disbursements, general statement and report of the directors.",NA,"Poweshiek History Preservation Project",1933,"Digital Grinnell, Poweshiek History Preservation Project","Business, Grinnell, Agriculture, 1930s","text","Insurance companies","Poweshiek County (Iowa)"
"449","Anor Scott","grinnell:11899","Studio portrait of Anor Scott, Grinnell's first store-keeper and merchant.",NA,"Poweshiek History Preservation Project",1870,"Digital Grinnell, Poweshiek History Preservation Project","1870s, Grinnell, Business","still image","Merchants, Scott, Anor, 1805-1881","Grinnell (Iowa)"
"450","Another View of Grinnell Junior High School","grinnell:6229","View of the south face of the Grinnell Junior High School building looking over the Veterans Memorial Building. Originally built to serve as the community high school, the building later became the junior high school and in 1980 was converted into the Grinnell Community Center. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection 20, Grinnell Schools.",NA,"Poweshiek History Preservation Project",1980,"Drake Community Library (Grinnell, Iowa) Archives, Poweshiek History Preservation Project, Digital Grinnell","1980s, Grinnell, Education","still image","School buildings -- Remodeling for other use, Grinnell Junior High School (Grinnell, Iowa), School buildings","Grinnell (Iowa)"
"451","Anschutz Hill and Mississippi River, Keokuk, Iowa","grinnell:15692","Anschutz Hill and Mississippi River, Keokuk, Iowa",NA,"C.H. Rollins & Co., Keokuk, Iowa",NA,NA,NA,"still image","Rivers, Mississippi River, Roads",NA
"452","Anson Hayden Palmer","grinnell:11942","Studio portrait of Anson Hayden Palmer, who founded Newburg, Iowa, on land purchased by his father, Horace Palmer. Portrait by Brown, Marshalltown, Iowa.",NA,"Poweshiek History Preservation Project",1900,"Digital Grinnell, Poweshiek History Preservation Project","1900s, Grinnell","still image","Palmer, Anson Hayden, 1854-1926, Palmer family","Newburg (Iowa)"
"453","Anson Hayden Palmer and Uncle Harry","grinnell:12015","Anson Hayden Palmer and Uncle Harry show off their peach tree probably in Newburg, Iowa. A note on the back of the photo says to ""notice the props,' but the peach tree eventually broke over the props.",NA,"Poweshiek History Preservation Project",1920,"Digital Grinnell, Poweshiek History Preservation Project","Agriculture, 1920s","still image","Palmer, Anson Hayden, 1854-1926, Peach, Palmer family","Newburg (Iowa)"
"454","Anthony Lake","grinnell:5604","Photo of Anthony Lake, exec. director of International Voluntary Services",NA,"Grinnell College",1975,"Digital Grinnell","food conference","Photograph",NA,"Grinnell (Iowa)"
"455","Anthropology Class","grinnell:5060","Photo of Jonathan Andelson in Anthropology class",NA,"Grinnell College",1979,"Digital Grinnell","anthropology","Photograph",NA,"Grinnell (Iowa)"
"456","Anti-Vietnam War Fast","grinnell:5836","Students participating in an anti-Vietnam War fast in Herrick Chapel.",NA,"Grinnell College",1972,"Digital Grinnell","Vietnam War, Herrick Chapel, protest","Photograph",NA,NA
"457","Antique Car, Donnan, Iowa","grinnell:16839","Antique Car, Donnan, Iowa",NA,NA,NA,NA,NA,"still image","Vehicles, Automobiles",NA
"458","Antique Farm Steam Engine, Mount Pleasant, Iowa","grinnell:16511","Antique Farm Steam Engine, Mount Pleasant, Iowa",NA,"L.L. Cook Co., Milwaukee, [Wis.]",NA,NA,NA,"still image","Agricultural machinery and implements, Vehicles, Tractors",NA
"459","Apostle's Clock, Spillville, Iowa","grinnell:14962","Apostle's Clock, Spillville, Iowa",NA,"Bloom Brothers Co., Minneapolis, Minn.",NA,NA,NA,"still image","Clock and watch industry, Bily, Frank L., Bily, Joseph C., Clocks",NA
"460","Approaching Grinnell from the South from Highway 146","grinnell:19312","The entrance to Grinnell, Iowa when approaching from the south on Highway 146. The Iowa Highway Commission garage is visible on the right with four orange cars outside it. Drake Community Library (Grinnell, Iowa) Archives. Chamber of Commerce Slides, p.8, slide 1.",NA,"Poweshiek History Preservation Project",1963,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","1960s, Grinnell, Organizations","still image","Automobiles, Dwellings","Grinnell (Iowa)"
"461","Ara Fitzgerald ","grinnell:5861","Photo of dance workshops with Ara Fitzgerald, dancer at Eugene O'Neill Theatre Center from Waterfard, CT.",NA,"Grinnell College",1975,"Digital Grinnell","Ara Fitzgerald","Photograph",NA,"Grinnell"
"462","Arbor Lake","grinnell:11840","Photograph by Cornelia Clarke with view of a lake presumed to be Arbor Lake. Drake Community Library (Grinnell, Iowa) Archives. Cornelia Clarke Collection. Collection #237.",NA,"Poweshiek History Preservation Project",1920,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","1920s, Grinnell, Sports & Recreation","still image","Lakes","Arbor Lake (Grinnell, Iowa), Grinnell (Iowa)"
"463","Arbor Lake","grinnell:11772","Color view of Arbor Lake in Grinnell, Iowa, circa 1990. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection #17-2, Grinnell Buildings.",NA,"Poweshiek History Preservation Project",1990,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","1990s, Grinnell, Sports & Recreation","still image","Lakes","Arbor Lake (Grinnell, Iowa), Grinnell (Iowa)"
"464","Arbor Lake in Winter","grinnell:11900","View of Arbor Lake in Grinnell, Iowa, in the winter with ice skaters. The boat house is visble to the left and a warming house is on the right. Photo by Cornelia Clarke.",NA,"Poweshiek History Preservation Project",1920,"Digital Grinnell, Poweshiek History Preservation Project","1920s, Grinnell, Sports & Recreation","still image","Ice skating, Winter","Arbor Lake (Grinnell, Iowa), Grinnell (Iowa)"
"465","Arbor Lake, Grinnell, IA -- 85","grinnell:6302","Postcard view of Arbor Lake, Grinnell, Iowa, from the south shore looking to the north. Boathouse on the right. Published by L.L. Cook, Lake Mills, Wis. Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1.",NA,"Poweshiek History Preservation Project",1900,"Digital Grinnell -- grinnell-collection:1, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","1900s, Grinnell, Sports & Recreation","Image","Lakes -- Iowa","Arbor Lake (Grinnell (Iowa)), Grinnell (Iowa)"
"466","Arbor Lake, Grinnell, Ia.","grinnell:6262","Color postcard view of sailboat on Arbor Lake in Grinnell, Iowa. Postcard addressed to Miss Mattie Kelty, Chicago Heights, Ill. Postmarked January 18, 1906. Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1.",NA,"Poweshiek History Preservation Project",1906,"Digital Grinnell -- grinnell-collection:1, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","1900s, Grinnell, Sports & Recreation","Image","Sailing, Lakes -- Iowa, Sailboats","Arbor Lake (Grinnell (Iowa)), Grinnell (Iowa)"
"467","Arbor Lake, Grinnell, Ia.","grinnell:12337","Color postcard view of Arbor Lake, Grinnell, Iowa. There is a rowboat on the lake and a two-story boathouse. Young trees are growing in the park and there is a flagpole. The image appears to be a painting of some type, not a photograph. The postcard is addressed to Mrs. Lena Schneider, Minden, Nebraska, and postmarked September 27, 1909. The card was made in Germany and imported by Brown & Harrington, Grinnell. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection #17-5, Views of Grinnell.",NA,NA,NA,NA,NA,"still image",NA,NA
"468","Arbor Lake, Grinnell, Iowa","grinnell:6256","Postcard view of sailboats on Arbor Lake, Grinnell, Iowa. Boathouse and two other buildings on east shore pictured. Published by Pearson Ullberg Company, Minneapolis, Minn. Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1.",NA,"Poweshiek History Preservation Project",1900,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","1900s, Grinnell, Sports & Recreation","Image","Sailboats, Sailing","Arbor Lake (Grinnell (Iowa)), Grinnell (Iowa)"
"469","Arbor Lake, Grinnell, Iowa","grinnell:14499","Looking east at shoreline with canoers and boathouse. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there, was created in 1902 as a storage reservoir to provide soft water for manufacturing firms. Number 1222.",NA,"C.E. Wheelock & Co. (Peoria, Ill.)",1905,"Ivan Sheets Collection",NA,"still image","Arbor Lake (Grinnell, Iowa), Poweshiek County (Iowa), Grinnell (Iowa), Lakes & ponds, Boats, Canoes",NA
"470","Arbor Lake, Grinnell, Iowa","grinnell:14498","Looking east at shoreline with sailboat and boathouse. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there, was created in 1902 as a storage reservoir to provide soft water for manufacturing firms. 1906 postmark. Number 132.",NA,"S. Langsdorf & Co. (New York)",1906,"Ivan Sheets Collection",NA,"still image","Arbor Lake (Grinnell, Iowa), Poweshiek County (Iowa), Grinnell (Iowa), Lakes & ponds, Boats, Sailboats, Boathouses",NA
"471","Arbor Lake, Grinnell, Iowa","grinnell:14496","Looking northeast at shoreline with sailboats and boathouse. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there, was created in 1902 as a storage reservoir to provide soft water for manufacturing firms. 1907 postmark.",NA,"Pearson-Ullberg Co. (Minneapolis, Minn.)",1907,"Ivan Sheets Collection",NA,"still image","Arbor Lake (Grinnell, Iowa), Poweshiek County (Iowa), Grinnell (Iowa), Lakes & ponds, Boats, Sailboats, Boathouses",NA
"472","Arbor Lake, Grinnell, Iowa","grinnell:14500","Looking east at shoreline with sailboat and boathouse. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there, was created in 1902 as a storage reservoir to provide soft water for manufacturing firms. 1909 postmark. Number 58.",NA,"Faber, Jno. T., Publisher (Milwaukee, Wis.)",1909,"Ivan Sheets Collection",NA,"still image","Arbor Lake (Grinnell, Iowa), Poweshiek County (Iowa), Grinnell (Iowa), Lakes & ponds, Boats, Sailboats, Boathouses",NA
"473","Arbor Lake, Grinnell, Iowa","grinnell:14497","Looking northeast at shoreline with boathouse. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there, was created in 1902 as a storage reservoir to provide soft water for manufacturing firms.",NA,NA,1910,"Ivan Sheets Collection",NA,"still image","Arbor Lake (Grinnell, Iowa), Poweshiek County (Iowa), Grinnell (Iowa), Lakes & ponds, Boats, Sailboats, Boathouses",NA
"474","Arbor Lake, Grinnell, Iowa","grinnell:14502","Looking northeast at shoreline with sailboats and boathouse. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there, was created in 1902 as a storage reservoir to provide soft water for manufacturing firms.",NA,"Pearson-Ullberg Co. (Minneapolis, [Minn.])",1910,"Iowa Historical Postcard Collection (IHPC)",NA,"still image","Poweshiek County (Iowa), Grinnell (Iowa), Lakes & ponds, Boats, Sailboats, Boathouses",NA
"475","Arbor Lake, Grinnell, Iowa","grinnell:14501","Looking southeast at shoreline towards boathouse. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there, was created in 1902 as a storage reservoir to provide soft water for manufacturing firms. 1912 postmark. Number 86.",NA,"KRUXO",1912,"Iowa Historical Postcard Collection (IHPC)",NA,"still image","Poweshiek County (Iowa), Grinnell (Iowa), Lakes & ponds, Boathouses",NA
"476","Arbor Lake, Grinnell, Iowa","grinnell:14494","Looking northwest at view of lake through trees. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there, was created in 1902 as a storage reservoir to provide soft water for manufacturing firms. Number 13889. Series 19.",NA,"E.C. Kropp Co. (Milwaukee, Wis.)",1950,"Ivan Sheets Collection",NA,"still image","Arbor Lake (Grinnell, Iowa), Poweshiek County (Iowa), Grinnell (Iowa), Lakes & ponds",NA
"477","Arbor Lake, Grinnell, Iowa","grinnell:14503","Looking northwest at beach with boaters, swimmers and lifeguard tower. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there on that day, was created in 1902 by damming a small creek k. Number 32304N. Series 11.",NA,"E.C. Kropp Co. (Milwaukee, Wis.), EKC",1950,"Iowa Historical Postcard Collection (IHPC)",NA,"still image","Poweshiek County (Iowa), Grinnell (Iowa), Lakes & ponds, Boats, Beaches, Swimming",NA
"478","Arbor Lake, Grinnell, Iowa","grinnell:14495","Looking northwest at beach with boaters, swimmers and lifeguard tower. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there on that day, was created in 1902 by damming a small creek. Number 32304N. Series 11.",NA,"E.C. Kropp Co. (Milwaukee, Wis.)",1950,"Ivan Sheets Collection",NA,"still image","Arbor Lake (Grinnell, Iowa), Poweshiek County (Iowa), Grinnell (Iowa), Lakes & ponds, Boats, Beaches, Swimming",NA
"479","Arbor Lake, Grinnell, Iowa","grinnell:14493","Looking southeast from the west shore of frozen lake with children ice skating. Arbor Lake, named for Arbor Day, when hundreds of trees were planted there on that day, was created in 1902 by damming a small creek. Title supplied by cataloger.",NA,NA,1960,"Ivan Sheets Collection",NA,"still image","Arbor Lake (Grinnell, Iowa), Poweshiek County (Iowa), Grinnell (Iowa), Lakes & ponds, Ice skating, Skaters, Winter",NA
"480","Arbor Lake, Grinnell, Iowa -- 19","grinnell:6255","Postcard view of Arbor Lake in Grinnell, Iowa. Published by E.C. Kropp, Milwaukee, Wisconsin. Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1.",NA,"Poweshiek History Preservation Project",1920,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","1920s, Grinnell, Sports & Recreation","Image",NA,"Arbor Lake (Grinnell (Iowa)), Grinnell (Iowa)"
"481","Arbor Lake, Grinnell, Iowa -- 87","grinnell:6260","Postcard view of Arbor Lake in Grinnell, Iowa. Boathouse visible in the distance; bridge in the foreground. Picture is taken looking to the southeast. Published by Iowa Calendar Co., Marshalltown, Iowa. Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1.",NA,"Poweshiek History Preservation Project",1913,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","1910s, Grinnell, Sports & Recreation","still image","Lakes -- Iowa","Arbor Lake (Grinnell (Iowa)), Grinnell (Iowa)"
"482","Archer Depot, Archer, Iowa","grinnell:13778","Looking east at a two story wooden building with Archer printed on the side with railroad workers, including ticketmaster, on platform with trailer.","Illinois Central railroad depot","Jacoby, Chas. E. (Sioux Rapids, Iowa), KRUXO",1915,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","O'Brien County (Iowa), Archer (Iowa), Transportation facilities, Railroad facilities, Railroads, Illinois Central, Railroad employees, Depots",NA
"483","Are We Going to Win? -- Yea Bo!!","grinnell:17360","Desk blotter which contains advertisements for 36 Grinnell, Iowa, businesses who supported the 1929 Grinnell High School football team. Contains the schedule of games, names of coaches in the Athletic Department, and prospects for the season. The advertisers are: Lee Hotel, Porter's Cafe, Grinnell State Bank, Independent Oil & Gas Co., Large's Pharmacy, Clindinin Insurance Agency, B. of R.T. Cafe, Barclay's Public Market, John Lund Shoe Repairing, Mathews Drug Co., Grinnell Cleaners, Candyland, Nick Heisel (suits made to order), B.W. Junior Department Store, Almy's Smart Footwear, Citizens National Bank, Swaney's Jersey Dairy, Richardson-Phelps Lumber Co., Rex Cigar Store, Equitable Life Insurance Company of Iowa (Wm. Gardner and A.B. Hamilton, agents), Grinnell Laundry, McNally the Butcher, Preston's, Ping Oil Co. Model Lunch Room, Dixie Sandwich Inn and One-stop Service Station, Hagen Bros. Garage, Rehder's Tailor Shop, Schultz & Son Motor Co., Deep Rock Station, Percy Goff (Travelers Insurance Co.), Star Clothing Co., Central Cigar Store and Billiard Parlor, Strand Taxi Co., Ross Shoe Co., and Campus Toastwich Shop.",NA,"Poweshiek History Preservation Project",1929,"Digital Grinnell, Poweshiek History Preservation Project","1929, Grinnell, Sports & Recreation, Education, Business","still image","Advertising, Grinnell High School (Grinnell, Iowa), Football players","Grinnell (Iowa)"
"484","Area Admissions Coordinators Conference","grinnell:4993","This is a photograph for the Area Admissions Coordinators Conference (1974). Features (from left): Nancy Schmulbach Maly, '61 Stephen P. Carroll, '68 Julie Johnson Sellergren, '67 Smardack Palmer, '62 Glenn Leggett",NA,"Grinnell College",1974,"Digital Grinnell","Admissions Staff","Photograph",NA,"Grinnell"
"485","Arhens Family Center","grinnell:20367","The Arhens Family Center building located at 10th Avenue and Penrose Street in Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Imagine Grinnell Slides, p.16, slide 8.",NA,"Poweshiek History Preservation Project",1997,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","Grinnell, 1980s, Sports & Recreation","still image","Claude W. & Dolly Arhens Foundation (Grinnell, Iowa)","Grinnell (Iowa)"
"486","Arlington Hotel, Rodney, Iowa","grinnell:15100","Arlington Hotel, Rodney, Iowa",NA,NA,NA,NA,NA,"still image","Public accommodation facilities, Hotels",NA
"487","Arlington Hotel, Sheldon, Iowa","grinnell:15055","Arlington Hotel, Sheldon, Iowa",NA,NA,NA,NA,NA,"still image","Public accommodation facilities, Hotels, Vehicles, Automobiles",NA
"488","Arlington public school house, Arlington, Iowa","grinnell:13925","Two story brick building with bell tower.","Arlington public schoolhouse",NA,1910,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Fayette County (Iowa), Arlington (Iowa), Educational facilities, Schools, Public schools",NA
"489","Armory, Clarinda, Iowa","grinnell:14074","View of the entrance to a two story brick armory building. Following a fire in 1912, the National Guard Armory was reconstructed as an armory and theater. Number 209.","National Guard Armory","AZO",1910,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Page County (Iowa), Clarinda (Iowa), Military facilities, Armories",NA
"490","Armory, Grinnell, Iowa","grinnell:14596","Looking southeast. The Grinnell Armory building was constructed in 1907 for lease to the Grinnell Armory Association. 1909 postmark. Number 921.",NA,"C.U. Williams, Photoette (Bloomington, Ill.)",1909,"Ivan Sheets Collection","818 Fifth Avenue, Grinnell, Poweshiek County, Iowa","still image","Poweshiek County (Iowa), Grinnell (Iowa), Military facilities, Armories",NA
"491","Armory, Grinnell, Iowa","grinnell:6280","Postcard view of the Armory at 816 Fifth Avenue in Grinnell, Iowa. Postcard produced by C.U. Williams Photoette, Bloomington, Illinois. Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1.",NA,"Poweshiek History Preservation Project",1920,"Digital Grinnell -- grinnell-collection:1, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","1920s, Grinnell, Government","Image","Armories","Grinnell (Iowa)"
"492","Armory, Grinnell, Iowa -- 921","grinnell:6480","Postcard view of the Armory at 816 Fifth Avenue in Grinnell, Iowa. Postcard produced by C.U. Williams Photoette, Bloomington, Illinois. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection #17-2, Grinnell Buildings.",NA,"Poweshiek History Preservation Project",1920,"grinnell-collection:1, grinnell-collection:30, grinnell-collection:37","1920s, Grinnell, Business",NA,"Armories","Grinnell (Iowa)"
"493","Armory, Red Oak, Iowa","grinnell:15531","Armory, Red Oak, Iowa",NA,"Olson Photograph Co., Plattsmouth, Neb.",NA,NA,NA,"still image","Military facilities, Armories, Streets, Commercial streets, Dirt roads",NA
